,results
669,0.09798193
670,0.2260893
671,0.2603166
672,0.18665144
673,0.52144164
674,0.41251013
675,0.18967709
676,0.2856106
677,0.13684273
678,0.55297905
679,0.066220015
680,0.42206085
681,0.0004567504
682,0.23979497
683,0.40857056
684,0.822734
685,0.49605998
686,0.94102407
687,0.81688076
688,0.13882697
689,0.47093436
690,2.732873e-05
691,0.9910877
692,0.6233294
693,0.65479434
694,0.25950754
695,0.23626572
696,0.15763253
697,0.46081886
698,0.1685679
699,0.3318107
700,0.09715134
701,0.14025062
702,0.1395016
703,0.19043386
704,0.073104024
705,0.60347193
706,0.99996525
707,0.22705334
708,0.39237157
709,0.97097677
710,0.13261464
711,0.17292804
712,0.28123015
713,0.32777637
714,0.8700062
715,0.7602324
716,0.053928316
717,0.04824567
718,2.2053719e-06
719,0.9999495
720,0.91737336
721,0.56976753
722,0.86565465
723,0.99999726
724,0.82379675
725,1.8447638e-05
726,0.39686817
727,0.56493247
728,0.8122301
729,0.7915484
730,0.61670905
731,0.85738647
732,0.82410085
733,0.4231634
734,0.35462227
735,0.5970869
736,0.7420529
737,0.25627813
738,0.27475935
739,0.17124835
740,0.1378159
741,0.06974694
742,0.18916836
743,0.07007429
744,0.29495853
745,0.14038894
746,0.10028061
747,0.6514722
748,0.1845606
749,0.21546078
750,0.015232295
751,8.940697e-08
752,0.9615334
753,0.82360613
754,0.61771095
755,0.9999938
756,0.9054067
757,0.95646787
758,0.94154084
759,0.95706975
760,0.9402164
761,0.99350274
762,0.7026366
763,0.8578558
764,0.81639296
765,0.38155663
766,4.1127205e-06
767,0.31790245
768,0.3754341
769,0.1796912
770,0.36867517
771,0.9014665
772,0.23190242
773,0.045535088
774,0.049470514
775,0.31856886
776,0.21811476
777,0.028245121
778,0.1101765
779,0.6513599
780,0.41084242
781,0.13765055
782,0.08683288
783,0.02892214
784,5.9604645e-08
785,0.8669609
786,0.24514896
787,0.27590388
788,0.67707074
789,0.7600509
790,0.94650173
791,0.30459708
792,0.6638318
793,0.5352637
794,0.5558517
795,0.17900026
796,0.6148897
797,0.19204575
798,0.130745
799,0.21402541
800,0.20358756
801,8.940697e-07
802,0.05253139
803,0.19631168
804,0.19100854
805,0.9997698
806,0.06760639
807,0.4866801
808,0.22973692
809,0.14353627
810,0.7818657
811,0.004461378
812,0.035281867
813,0.17832074
814,0.013795376
815,0.39699775
816,1.6987324e-06
817,0.79521084
818,0.9926966
819,0.52095914
820,0.6067074
821,0.97331715
822,0.35112277
823,0.78294337
824,0.52177936
825,0.5031783
826,0.88340515
827,0.4716882
828,0.8708011
829,0.73821485
830,0.44331434
831,0.21710649
832,0.40111548
833,0.15300193
834,0.092139006
835,9.23872e-07
836,0.09353566
837,0.118291914
838,0.044046313
839,0.7153891
840,0.9998847
841,0.03386429
842,0.76291
843,0.289177
844,0.03669861
845,0.13323882
846,0.69934946
847,0.19585088
848,0.9884716
849,8.940697e-07
850,0.015676469
851,0.9991195
852,0.7424864
853,0.643866
854,0.85822505
855,0.6322397
856,0.60621846
857,0.7531954
858,0.6706204
859,0.41449806
860,0.33935973
861,0.24673647
862,0.27220216
863,0.34010702
864,0.49909627
865,0.43628958
866,0.63144326
867,0.12685344
868,0.13082483
869,0.1318039
870,2.8014183e-06
871,0.10011518
872,0.99991155
873,0.26905805
874,0.10103035
875,0.18530315
876,0.18458313
877,0.4431929
878,0.59380335
879,0.038048
880,0.9505491
881,0.43909964
882,0.15005258
883,0.42501315
884,2.0861626e-07
885,0.9730468
886,0.99141276
887,0.11343396
888,2.7120113e-06
889,0.88924026
890,0.21315244
891,0.7583704
892,0.74247307
893,0.39630798
894,0.92305005
895,0.5379882
896,0.08347842
897,0.93169016
898,0.43220103
899,0.5775877
900,0.34322762
901,0.15741122
902,0.19194466
903,0.07297549
904,0.32034636
905,0.03264782
906,0.022557825
907,0.024512827
908,0.99977934
909,0.32271978
910,0.94403625
911,0.010344446
912,0.014910579
913,0.93250716
914,0.06503487
915,0.07517493
916,0.5511851
917,0.48587465
918,1.0728836e-06
919,0.99923646
920,0.8566499
921,0.37093288
922,0.47776338
923,2.0861626e-06
924,0.33868507
925,0.34963888
926,0.16365856
927,0.23956043
928,0.16533062
929,0.21805134
930,0.8095877
931,0.13466614
