,results
662,0.6660639
663,0.625257
664,4.4554472e-05
665,0.6904337
666,1.4424324e-05
667,0.0018592775
668,0.00085765123
669,0.00079384446
670,0.999228
671,0.3259921
672,0.013757408
673,1.9937754e-05
674,0.99999857
675,0.75076115
676,0.00010418892
677,0.003140092
678,0.955845
679,0.00020989776
680,0.9999999
681,0.005368322
682,0.5865875
683,0.92249525
684,0.8173177
685,0.9996501
686,0.9931551
687,0.02189508
688,3.5762787e-07
689,0.037138164
690,0.0019551516
691,0.005891502
692,0.046634436
693,0.63902557
694,0.00051507354
695,0.037918955
696,0.8565049
697,0.0
698,2.9802322e-07
699,0.0009237528
700,0.0020751953
701,0.009150207
702,3.3974648e-06
703,0.29797947
704,0.9999998
705,0.5502308
706,0.71760476
707,0.37135816
708,0.0010595024
709,0.0021407306
710,0.5055266
711,0.12957716
712,3.7312508e-05
713,0.99796224
714,0.9113952
715,1.1026859e-06
716,0.043569803
717,0.07031757
718,0.003325224
719,2.4616718e-05
720,0.011519104
721,0.82632816
722,0.0047780275
723,3.0606985e-05
724,0.14118013
725,0.034050435
726,0.013891399
727,0.030506074
728,0.02474603
729,0.00036779046
730,0.010225087
731,0.018279493
732,0.99997336
733,0.32922074
734,0.8933456
735,1.4513731e-05
736,0.00012734532
737,0.99999344
738,0.99990743
739,0.9349531
740,0.15327758
741,0.99963146
742,0.0054647923
743,0.9951122
744,0.101337254
745,0.00048840046
746,0.04704365
747,0.97799724
748,3.144145e-05
749,0.9996279
750,8.940697e-08
751,2.0742416e-05
752,0.0016862154
753,0.36649382
754,0.96953905
755,5.015731e-05
756,0.99994355
757,0.26249343
758,0.00093492866
759,0.022026509
760,0.21480039
761,0.008725792
762,0.8776163
763,0.001293987
764,0.0018647611
765,0.99974823
766,9.268522e-06
767,4.208088e-05
768,0.0048691034
769,0.5129451
770,0.00030323863
771,0.7429658
772,0.6532114
773,0.58418953
774,5.662441e-07
775,0.0034827292
776,0.20106989
777,0.00040966272
778,0.3538276
779,0.0013868213
780,0.016949534
781,0.19210479
782,0.00061523914
783,0.76860297
784,0.99994695
785,0.00034835935
786,0.9937692
787,4.068017e-05
788,0.0842295
789,0.15604684
790,3.8802624e-05
791,1.6093254e-06
792,0.56195545
793,0.14833316
794,0.0024365485
795,0.6058027
796,0.076384336
797,6.112456e-05
798,0.32615423
799,0.050369263
800,0.24990642
801,0.03083685
802,0.21794355
803,7.638335e-05
804,0.94507825
805,0.0002668798
806,0.03859043
807,0.9999943
808,1.7881393e-07
809,0.1193662
810,0.998485
811,0.6800558
812,0.0002938211
813,0.97316515
814,0.21010438
815,6.571412e-05
816,0.11430001
817,0.95722145
818,0.00010347366
819,5.155802e-06
820,3.4034252e-05
821,0.98893857
822,0.9368211
823,0.9827167
824,0.0013394058
825,1.79708e-05
826,0.00021725893
827,0.8510357
828,0.029937238
829,5.9604645e-07
830,0.84255505
831,6.2584877e-07
832,0.9996315
833,0.99993694
834,0.0006572604
835,0.9979647
836,0.006221324
837,6.854534e-07
838,0.023954988
839,0.10995978
840,0.09692463
841,0.999838
842,0.00383538
843,0.00018242002
844,0.0070079267
845,0.0028916895
846,0.062540084
847,0.2737187
848,0.0046852827
849,0.36643165
850,0.9954389
851,6.377697e-06
852,0.00031736493
853,0.02418831
854,0.00010445714
855,0.9560951
856,0.2512332
857,0.00063303113
858,0.002132237
859,5.066395e-07
860,1.3053417e-05
861,0.00012919307
862,0.64699745
863,0.0014440417
864,0.07580069
865,0.31085062
866,5.888939e-05
867,2.0861626e-07
868,2.9534101e-05
869,2.3275614e-05
870,0.6154982
871,0.088475615
872,0.96859217
873,0.9987592
874,0.7709526
875,0.09228733
876,0.101677835
877,0.98114353
878,0.0009984374
879,0.9999013
880,0.019965589
881,3.2782555e-07
882,2.7775764e-05
883,0.99962723
884,0.9998784
885,0.08204356
886,0.9737718
887,0.022126853
888,0.00068315864
889,0.007839918
890,4.9471855e-06
891,0.0065948963
892,3.2782555e-06
893,0.2212567
894,0.98424256
895,0.0066477954
896,3.5762787e-07
897,0.94618595
898,0.00026610494
899,9.5427036e-05
900,0.02658531
901,0.059185
902,0.0001410842
903,0.9985187
904,0.00036251545
905,5.9604645e-08
906,0.0013678372
907,0.0009176433
908,0.16104779
909,0.0
910,0.10886857
911,1.1622906e-06
912,0.9893382
913,0.005878687
914,0.4343955
915,0.00017848611
916,0.94696903
917,0.9628316
918,4.4375658e-05
919,2.9116869e-05
920,0.001018703
921,0.019112974
922,3.6895275e-05
923,5.364418e-07
924,0.8665365
925,0.0001372397
926,9.23872e-07
927,0.09737715
928,3.0189753e-05
929,3.33786e-06
930,0.0022374094
931,0.9999999
932,7.8737736e-05
933,0.0030413568
934,0.052707106
935,0.00012654066
936,2.3841858e-07
937,0.99221236
938,0.063883334
939,0.00160411
940,0.7839978
941,0.95518947
942,0.9989463
943,0.98978984
944,1.66893e-06
945,7.2687864e-05
946,0.010643512
947,0.00011232495
948,7.548928e-05
949,0.9948225
950,0.0020657182
951,0.0034745634
952,3.5762787e-07
953,0.99999994
954,0.9996841
955,0.010592759
956,0.7609658
957,1.0639429e-05
958,0.2753297
959,0.00031378865
960,0.0
961,0.71666086
962,0.4227228
963,0.97220063
964,0.89890563
965,6.4074993e-06
966,0.049299
967,0.7523957
968,0.0008688867
969,0.00042292476
970,0.00057581067
971,0.8773229
972,0.12445256
973,0.03618422
974,0.38860273
975,0.00111714
976,2.3841858e-07
977,0.000117868185
978,0.0010641515
979,0.08973828
980,0.013665587
981,0.004003674
982,0.8982885
983,1.6391277e-06
984,0.04289928
985,4.2945147e-05
986,1.6957521e-05
987,0.9161551
988,0.9475453
989,0.9998921
990,0.022027254
991,0.00025111437
992,0.004702002
993,0.00033181906
994,0.0024696887
995,0.9907768
996,0.78784454
997,0.0
998,0.0
999,0.032895863
1000,0.123281896
1001,3.3318996e-05
1002,0.0047649443
1003,0.043188483
1004,0.7818828
1005,0.9853878
1006,0.8655388
1007,0.99295986
1008,1.1920929e-07
1009,0.00015211105
1010,0.40185001
1011,0.5437983
1012,0.9957098
1013,6.759167e-05
1014,0.15064365
1015,0.97494924
1016,1.4901161e-07
1017,0.01810503
1018,0.010454237
1019,0.000153929
1020,2.0861626e-07
1021,0.8231634
1022,0.9745741
1023,0.026501298
1024,0.9996246
1025,0.001729846
1026,0.96193004
1027,0.044971257
1028,0.16414452
1029,5.6028366e-06
1030,4.2915344e-06
1031,0.00043970346
1032,0.9307344
1033,6.28829e-06
1034,0.9976324
1035,0.0019189417
1036,0.052904367
1037,0.0022449195
1038,0.0002783537
1039,0.9997051
1040,0.0021547377
1041,0.00031933188
1042,0.0015788972
1043,0.04353586
1044,0.8755821
1045,0.45417455
1046,0.0035416186
1047,0.20551834
1048,0.019522667
1049,0.0010857582
1050,0.85923
1051,0.00041857362
1052,0.9747658
1053,7.4505806e-07
1054,0.021394938
1055,0.99995315
1056,0.0005889535
1057,0.9997794
1058,0.012098372
1059,0.8161818
1060,0.0043759644
1061,0.43788084
1062,0.9832233
1063,0.00078061223
1064,4.348159e-05
1065,2.2768974e-05
1066,0.0006248057
1067,0.0013923049
1068,0.89697444
1069,3.7431717e-05
1070,0.9996426
1071,0.99960774
1072,9.62615e-05
1073,0.0852561
1074,0.0020539165
1075,0.08420107
1076,7.70092e-05
1077,0.98303187
1078,8.2194805e-05
1079,2.7447939e-05
1080,0.013563305
1081,8.046627e-06
1082,0.035862714
1083,0.00046744943
1084,0.89338404
1085,0.0029354393
1086,0.0010077655
1087,0.9170383
1088,0.8255401
1089,0.0152421
1090,0.071823895
1091,0.31695902
1092,0.52860755
1093,6.0737133e-05
1094,9.980798e-05
1095,0.011623502
1096,0.0002681017
1097,0.9443453
1098,0.006444663
1099,0.994767
1100,0.02665627
1101,7.0631504e-06
1102,0.0023448765
1103,4.172325e-07
1104,3.0398369e-06
1105,6.881356e-05
1106,0.00051277876
1107,0.0012957752
1108,0.057877094
1109,0.0419226
1110,0.060298353
1111,0.33355325
1112,5.555153e-05
1113,0.9999453
1114,0.00023627281
1115,0.53141415
1116,0.99999964
1117,0.8475005
1118,6.785989e-05
1119,0.0017046034
1120,0.030109197
1121,0.27595097
1122,0.015764356
1123,0.54604423
1124,0.0055193603
1125,0.002480656
1126,0.0023270845
1127,0.9714453
1128,8.5532665e-06
1129,0.0012387633
1130,0.07973173
1131,0.0017986596
1132,3.0577183e-05
1133,0.9547802
1134,2.7060509e-05
1135,0.0
1136,5.9604645e-08
1137,0.9344065
1138,0.8906338
1139,0.0014982522
1140,2.1010637e-05
1141,0.0003157258
1142,5.9604645e-08
1143,0.0068698525
1144,0.2731028
1145,0.9265419
1146,0.0055626035
1147,0.09635055
1148,4.5210123e-05
1149,0.0016792715
1150,0.00030699372
1151,0.14802942
1152,0.18960077
1153,0.91327316
1154,3.9309263e-05
1155,0.0023120344
1156,0.019005239
1157,0.014780343
