round_epochs,val_loss,val_acc,loss,acc,first_layer,second_layer,batch_size,epochs
80,0.211561837,0.944567627,0.183779574,0.950047573,64,512,128,80
80,0.284313051,0.935698444,0.196973713,0.949571836,512,512,256,80
160,0.226519778,0.937915746,0.197656575,0.949096099,256,8,256,160
160,0.20158795,0.942350333,0.186720387,0.949096098,32,16,128,160
80,0.243454723,0.936807095,0.183281001,0.948144625,128,256,128,80
320,0.226789738,0.945676276,0.194826688,0.947668887,64,64,512,320
40,0.263928906,0.94345898,0.20207644,0.94719315,512,128,64,40
320,0.203381824,0.950110868,0.184448612,0.947193149,16,64,256,320
320,0.210328847,0.929046559,0.180660474,0.945765938,16,32,256,320
160,0.239682121,0.941241687,0.194810482,0.9452902,512,128,512,160
80,0.215293121,0.941241685,0.175016973,0.944814462,64,32,64,80
320,0.198992235,0.942350328,0.165937023,0.944338725,8,256,256,320
80,0.217642715,0.950110865,0.181406406,0.943862988,32,128,64,80
160,0.285543119,0.939024379,0.195880933,0.94338725,512,256,512,160
160,0.227891953,0.936807091,0.189322019,0.94338725,32,512,256,160
80,0.220650043,0.945676275,0.191927451,0.942911513,256,32,128,80
80,0.297239097,0.944567627,0.211984485,0.942911513,256,64,128,80
40,0.233398598,0.941241685,0.197492016,0.942435776,256,512,64,40
320,0.219864536,0.943458976,0.198585277,0.941484301,8,16,256,320
160,0.2483332,0.944567629,0.216669875,0.940057088,512,64,512,160
160,0.223847265,0.941241685,0.203577721,0.938629877,64,8,128,160
80,0.228320146,0.93902439,0.192454903,0.938629876,64,16,64,80
320,0.223203359,0.941241686,0.213423082,0.93625119,128,32,512,320
320,0.254744217,0.927937918,0.210717065,0.936251189,32,128,512,320
40,0.282349052,0.925720621,0.210218254,0.934823978,256,256,64,40
80,0.243190838,0.937915743,0.224247891,0.934823976,64,256,128,80
320,0.231570447,0.930155213,0.210072816,0.934348239,8,256,512,320
80,0.191851044,0.94345898,0.179370652,0.933872502,8,512,64,80
160,0.233616938,0.930155214,0.207301306,0.933872502,64,64,256,160
320,0.240111026,0.935698449,0.209846876,0.933396766,64,16,512,320
160,0.271098886,0.931263847,0.210744556,0.933396766,256,512,512,160
160,0.232923497,0.929046563,0.204064786,0.932445291,32,8,128,160
320,0.235205938,0.93126386,0.207554657,0.93244529,32,256,512,320
160,0.23565963,0.926829257,0.207266096,0.931018078,512,32,512,160
320,0.233731975,0.933481151,0.210575887,0.93054234,32,16,256,320
160,0.247991617,0.915742791,0.22584958,0.929115129,128,16,256,160
320,0.242044277,0.925720623,0.215298142,0.929115129,64,8,512,320
80,0.239227439,0.926829268,0.211749992,0.928639392,256,8,128,80
