round_epochs,val_loss,val_acc,loss,acc,first_layer,batch_size,epochs
40,0.5714627993344732,0.7272727297837877,0.5565571739603291,0.71122740309767,32,256,40
20,0.4866906683355107,0.8237250553002115,0.4872177207787529,0.8116079918777909,512,64,20
160,0.14166717987895805,0.9656319290465631,0.14318331544394725,0.971455756989578,512,128,160
10,0.53849807388238,0.7339246119733924,0.5600832435882851,0.7250237875501958,256,64,10
80,0.5012329516812597,0.7904656242637043,0.4903999419012714,0.7764034260464894,256,512,80
20,0.5810714752605379,0.7283813813308919,0.5854614436002599,0.7088487160194499,256,512,20
10,0.6062715615242917,0.7250554389805592,0.6026136329012979,0.707897240382847,256,512,10
10,0.606896675478857,0.725055426160935,0.6162387514885668,0.704091342089859,128,512,10
320,0.413616887415592,0.8270509961967722,0.4166605353185271,0.8201712649510544,8,256,320
80,0.5333701047030363,0.7350332628596913,0.5289247328615778,0.7254995236387716,32,256,80
20,0.5713299051621008,0.7272727338807811,0.5722244533326487,0.71122740309767,512,512,20
160,0.11597916812629763,0.975609756097561,0.12247624114992275,0.9771646051379639,256,64,160
10,0.6143293084696497,0.7239467892837101,0.6098570595118797,0.7045670785187087,64,256,10
160,0.2983349270936919,0.8902439024390244,0.2894736872640368,0.889628924323081,64,128,160
10,0.8024386326119535,0.7250554389805592,0.7913729728799451,0.7069457662774765,16,512,10
10,0.5945600275189807,0.7250554323725056,0.6112561462948597,0.7102759277446286,16,64,10
160,0.24564555868869875,0.9157427937915743,0.24180421857012668,0.9191246430835307,128,128,160
40,0.5347254830030539,0.7383591982054869,0.5319809769018846,0.7340627969955967,128,256,40
320,0.47027549008836766,0.8004434511825409,0.4604805753868495,0.7868696484647401,16,512,320
40,0.4363808193122204,0.8126385809312638,0.4237218045768683,0.808277830977762,64,64,40
40,0.7339990691440862,0.7250554389805592,0.7013229600142343,0.7078972412335317,16,512,40
20,0.5883673951525381,0.7239467892837101,0.5917114338684264,0.7083729780593676,64,256,20
320,0.08650767560346163,0.9889135254988913,0.0760855384695598,0.9914367269267365,64,64,320
160,0.4611234351695245,0.8070953467204143,0.4608183391427676,0.7982873448749365,16,256,160
40,0.5227857989376771,0.7472283813747228,0.5139195762794433,0.7392959084315713,16,64,40
320,0.22748252851867887,0.9235033259423503,0.21880624481573432,0.9376784015223597,32,128,320
40,0.27288286285495544,0.8902439024390244,0.2984348681571935,0.8934348245442878,512,64,40
160,0.16881934555036796,0.9567627494456763,0.16954695937408934,0.9647954334881508,256,128,160
160,0.22382538691328263,0.9345898008399423,0.22567379880132957,0.9343482396582214,512,256,160
320,0.34259214448823105,0.8536585401537149,0.33810273241021316,0.8644148434603589,32,256,320
40,0.5675488958866263,0.7206208469333776,0.5547268821669123,0.7083729786264907,64,256,40
40,0.41800717874006793,0.8270509977827051,0.41081607560108774,0.8282588006313589,128,64,40
160,0.38259405558495196,0.8337028824833703,0.37489513370902283,0.8463368215638042,32,128,160
10,0.5948391330744369,0.725055436733821,0.6018661001996695,0.710275927461067,512,256,10
10,0.8166793249134479,0.6929046511650085,0.7591410670588972,0.6769743094435201,32,512,10
40,0.5412842463495462,0.7383592083818896,0.5328765323794988,0.746431969212533,512,512,40
10,0.5639325981658209,0.7760532150776053,0.5418456142057587,0.7511893442196579,512,64,10
80,0.15553738467577027,0.9578713968957872,0.18806793372705932,0.9595623215984777,512,64,80
160,0.37150773346556265,0.8381374688476259,0.36035777465373875,0.8520456705628748,128,256,160
10,0.5358254312147323,0.7427937915742794,0.5629218838307882,0.7188392011014537,128,64,10
320,0.12621065901546943,0.9767184053979269,0.1196174762512138,0.9828734538534729,512,256,320
40,0.44956378556143684,0.8181818181818182,0.4521668864986536,0.8001902955810191,256,128,40
40,0.4787238615579457,0.79490022172949,0.469140939379056,0.7754519498994756,128,128,40
80,0.3139605892867577,0.8813747228381374,0.3174018792659186,0.8748810655383356,256,128,80
