round_epochs,val_loss,val_acc,loss,acc,first_layer,second_layer,third_layer,batch_size,epochs
80,0.2957909015356305,0.8791574178936741,0.33121137991618477,0.8587059950284114,256,8,256,512,80
80,0.10677945833578871,0.9722838137472284,0.09849277173446316,0.968125594274755,128,64,512,128,80
160,0.06126670579440446,0.9822616407982262,0.0734672258429931,0.9714557564224549,64,512,16,128,160
10,0.6217605388349545,0.7317073168088486,0.6500831640526639,0.6979067551307061,32,512,256,256,10
40,0.32824284059641895,0.852549889135255,0.3739403928891462,0.8406279736989799,64,512,256,128,40
320,0.08419846168444585,0.9822616435736088,0.06433686869241985,0.9809705045651981,32,256,128,256,320
160,0.09181982840508421,0.9800443457658433,0.09886903678741374,0.9733587053137434,32,8,64,128,160
40,0.30592165722154463,0.8669623059866962,0.3304695508005957,0.8501427213880247,16,128,256,64,40
160,0.06436281182086653,0.9866962304665086,0.08374146602828088,0.9733587061644281,512,16,32,128,160
80,0.11598439201580447,0.9711751661649565,0.14137793087766468,0.9557564223413804,8,256,128,64,80
10,0.6051106439725787,0.7317073240777077,0.6318597819099644,0.6960038061259929,128,128,128,512,10
80,0.3192457221696223,0.8702882445043576,0.3421851349773008,0.8553758327105746,64,8,128,256,80
160,0.03780111548245085,0.9900221729490022,0.041626332148725256,0.9838249289229526,512,32,16,64,160
320,0.13027141829684147,0.9722838017205706,0.12560268500013425,0.972882968601332,16,32,512,512,320
320,0.0882264097983187,0.980044348673387,0.07313814577775042,0.9862036158877481,16,64,512,256,320
80,0.38457165450320274,0.8381374636933439,0.3903690013400041,0.8244529013742615,128,64,128,512,80
10,0.6225312486984778,0.7305986638079726,0.6535065862590307,0.6983824932609253,32,32,16,512,10
10,0.5745575993658434,0.7328159642589595,0.5994891161923177,0.6979067558112539,512,8,32,256,10
10,0.552189251668173,0.7328159643911205,0.5937506359152064,0.6969552813088973,256,32,256,128,10
160,0.07835917542389122,0.9789356984478935,0.05492198153210185,0.9800190294957184,16,128,128,64,160
160,0.055581844930109585,0.9822616407982262,0.06270774877094065,0.976688868312128,32,256,512,64,160
160,0.052552005024151895,0.9844789356984479,0.04566718276933927,0.9814462422417188,128,64,256,64,160
10,0.5799988594129186,0.7328159643911205,0.6157544478703181,0.6969552803447879,32,8,512,128,10
80,0.07190525784526855,0.9811529933481153,0.08664648931519572,0.9705042816365367,512,256,16,128,80
40,0.5584040993861772,0.7394678480344972,0.5834467010085181,0.7021883918374748,8,512,256,256,40
10,0.6202760287240445,0.7339246188457683,0.6505062630582604,0.6960038055588698,64,128,256,512,10
10,0.5930997957940112,0.7339246117090703,0.6166059140020275,0.6988582299166243,16,32,128,256,10
20,0.5611839106764868,0.7328159633338319,0.5910697105836006,0.6974310174541855,64,8,256,256,20
10,0.583094184718481,0.7317073169410097,0.6141889555810407,0.6960038062394176,256,512,512,128,10
10,0.6064186842901479,0.7305986694908988,0.6474501178108092,0.6955280691300201,32,128,128,64,10
80,0.10616316737198248,0.9733924611973392,0.10837651590695277,0.9666983830599871,128,8,256,128,80
10,0.6167769619736597,0.7317073158837211,0.6305949986831673,0.6964795429518289,16,16,8,256,10
320,0.03683576491679955,0.9866962305986696,0.03078927726375841,0.9876308283501869,512,256,8,64,320
320,0.04282097373066879,0.9855875831485588,0.032339470889897824,0.9881065651760228,16,512,256,128,320
