0%,17%,22%,-6%,-4%,3%,-14%,-5%,-16%,-6%,10%,35%,-7%,-4%,2%,7,7,-67%,-25%,73%,38.2,26.4,1.2,0.214327173,-1
-9%,1%,11%,-4%,-2%,3%,-14%,-10%,-16%,9%,10%,38%,-4%,-1%,3%,7,6,-68%,-28%,70%,27.5,26.9,1.2,0.225020779,-1
-4%,0%,9%,-3%,1%,-5%,-22%,-15%,-24%,5%,6%,29%,-3%,2%,-2%,7,6,-68%,-32%,64%,29.1,27.1,1.3,0.232720669,-1
-2%,3%,9%,-8%,-3%,-5%,-22%,-15%,-24%,-10%,-8%,17%,-5%,-1%,-5%,7,6,-68%,-32%,63%,31.6,28.1,1.3,0.234082123,-1
1%,-2%,6%,-11%,-7%,-4%,-22%,-20%,-24%,-12%,-14%,15%,-8%,-5%,-4%,7,6,-70%,-36%,60%,40.7,29.2,1.3,0.248826714,-1
-1%,-7%,-2%,-11%,-5%,0%,-22%,-24%,-24%,-9%,-17%,10%,-8%,-4%,2%,6,6,-71%,-38%,58%,38.4,29.9,1.3,0.259878728,-1
-6%,-6%,-3%,-9%,-2%,2%,-22%,-21%,-24%,0%,-14%,13%,-5%,-1%,1%,6,6,-70%,-36%,60%,28.2,30.3,1.3,0.250636728,-1
-5%,-8%,-7%,-6%,0%,-1%,-22%,-23%,-24%,2%,-13%,12%,-3%,1%,0%,6,6,-70%,-37%,59%,24.3,29.5,1.3,0.257504913,-1
-5%,-7%,-7%,-7%,-1%,-4%,-22%,-26%,-24%,-1%,-14%,13%,-3%,0%,-2%,6,5,-71%,-39%,57%,31,29.4,1.3,0.269109847,-1
-9%,-14%,-16%,-9%,-3%,-1%,-22%,-27%,-24%,1%,-15%,9%,-3%,-1%,0%,6,5,-72%,-40%,56%,33.7,29.9,1.3,0.272807078,1
-7%,-16%,-18%,-8%,-4%,0%,-22%,-26%,-24%,0%,-4%,11%,-2%,-1%,2%,6,5,-71%,-39%,57%,25.1,30.1,1.3,0.266504604,-1
-1%,-11%,-18%,-5%,-1%,1%,-22%,-24%,-24%,3%,-2%,8%,1%,1%,0%,6,6,-71%,-38%,58%,19.6,30.3,1.3,0.262576072,-1
